,K/9,BB/9,LOB%,ERA,FIP,pWAR,OBP,SLG,wOBA,Off,WAR,W
2019COL,7.852738415,3.659226999,0.68546638,5.578923336,5.229656115,6.024705588,0.326222935,0.45565371,0.3278860277,-112.5256773,12.07276311,71
2021CHC,8.651723283,3.797074431,0.70873786,4.880132574,4.88381436,3.982864469,0.311804384,0.407463249,0.3114116449,-51.01331843,18.57009712,71
2023WSN,7.71878711,3.730222016,0.72523262,5.02193741,5.151656621,4.939913136,0.313809602,0.395689967,0.3090397033,-55.49598927,11.36682897,71
2023STL,7.655776747,3.339556935,0.69419478,4.832905979,4.428436046,13.95920242,0.325844512,0.415789473,0.32220911,15.88460492,18.44600757,71
2024WSN,8.246862714,2.968619531,0.69072406,4.299163592,3.936563184,17.35760586,0.308766616,0.374767398,0.3001830478,-50.17169063,9.940338349,71
2009ARI,7.199171656,3.26387316,0.69836717,4.438867498,4.203692183,13.53205094,0.324428709,0.417610062,0.3235764222,-75.30770224,18.00123135,70
2009NYM,6.507013182,3.887798371,0.71826691,4.462132221,4.503114736,10.36811139,0.335090609,0.394278378,0.3204061164,-48.2181797,12.70586871,70
2014MIN,6.466202695,2.558885257,0.68875327,4.578397641,3.974064094,14.29930082,0.32361469,0.389078498,0.3163950382,23.81739528,16.15771392,70
2014HOU,7.112836772,3.027803868,0.70287899,4.141335042,3.925347718,9.852520163,0.309464611,0.382595924,0.3075613933,-8.105564825,13.6568128,70
2017NYM,8.619424406,3.720028146,0.70447284,5.012314483,4.590725298,8.657404708,0.320397847,0.43430127,0.3216867591,-8.35950525,20.1244599,70
2019SDP,9.270252269,2.909916475,0.69950739,4.631983676,4.218199514,15.19369847,0.307640862,0.409942496,0.3046289136,-98.82752839,11.7860092,70
2010CLE,6.073273266,3.592463607,0.71391159,4.295883055,4.397451727,9.712408108,0.321585903,0.378348824,0.3114025778,-40.74081141,10.84220067,69
2010WSN,6.698258558,3.21115017,0.70775501,4.133101488,4.12383557,10.44649166,0.318181818,0.390180878,0.3130003312,-84.37275552,15.9034943,69
2011BAL,6.494931265,3.328341214,0.69471413,4.920968037,4.671930163,4.873299635,0.316046966,0.412891674,0.3197343564,-39.08719642,11.31545014,69
2012BOS,7.334720052,3.299376622,0.69628796,4.721414183,4.413232543,6.425413407,0.315068493,0.414882226,0.3161807686,-37.07601063,19.78200413,69
2012MIA,6.953031213,3.092318464,0.70316812,4.104349961,3.894776043,13.50316408,0.307871914,0.382012139,0.3002158383,-92.91204658,10.55260538,69
2016OAK,7.459535213,2.913488501,0.70711785,4.514651362,4.242606943,13.66950631,0.304043934,0.394727272,0.3018853585,-87.95217471,5.511328413,69
2016ARI,8.173174406,3.739320309,0.68704257,5.091180719,4.503932966,10.1123159,0.32046332,0.431774051,0.3213240842,-42.05969271,16.91503983,69
2019PIT,9.018750745,3.650000302,0.68870075,5.187500429,4.779287383,8.653120866,0.321249393,0.420187378,0.3129626288,-71.49669951,13.48272139,69
2022MIA,8.997913609,3.199675612,0.73801184,3.869666396,3.902783577,15.48997517,0.294256358,0.363484708,0.290427994,-111.291487,7.990996147,69
2024OAK,7.912065799,3.320185965,0.70210122,4.37262227,4.236526333,11.27079268,0.301413133,0.392673048,0.3030112229,-1.041124645,13.8152772,69
2012CLE,6.77808642,3.38904321,0.67621406,4.787101551,4.400970902,12.62725265,0.323567497,0.381357466,0.3099761915,-37.73668394,8.558750822,68
2015OAK,7.344947714,2.952930633,0.70978481,4.161514057,4.131055785,13.03463323,0.312042905,0.395,0.3078693596,-34.14443925,11.33425291,68
2015COL,7.016593287,3.653424023,0.69853318,5.041598954,4.561030194,8.262044475,0.31524805,0.432340272,0.3208675963,-91.87531997,9.711470045,68
2015MIL,7.902439392,3.242508862,0.72086937,4.277352115,4.16774014,9.900377555,0.306854365,0.393248175,0.3036130968,-87.87532344,12.62089888,68
2016TBR,8.562515181,3.098153982,0.74199507,4.196074131,4.257801402,10.57234569,0.307117969,0.425652253,0.3145077547,-14.82810965,17.39547887,68
2016ATL,7.628137979,3.400645049,0.70210857,4.507253492,4.319482441,9.020057542,0.320711604,0.384294523,0.3042138848,-104.8114835,12.24324456,68
2016CIN,7.745492661,3.969486972,0.72770472,4.911928061,5.236713027,0.9611108461,0.315990057,0.407873154,0.3111736515,-83.95757747,11.81209438,68
2016SDP,7.637500502,3.556250234,0.71308912,4.443750292,4.397254909,8.620926402,0.298892988,0.390293412,0.2973247752,-108.1193128,8.160627829,68
2017CIN,8.181818504,3.971328828,0.71056135,5.16713307,5.079318092,5.321501299,0.328898263,0.432530999,0.3249784413,-39.70630492,22.0383553,68
2019SEA,7.747337354,3.157712158,0.68436754,4.996063395,4.999558485,5.445836235,0.315542616,0.424,0.3141097789,-4.08499166,16.1941399,68
2022TEX,8.241115612,3.643902718,0.7123381,4.220906246,4.175148853,9.193107928,0.300880544,0.39539978,0.3046314408,-7.02922541,17.23679528,68
2022COL,7.495089502,3.403414694,0.66849817,5.076707632,4.383712681,11.89447522,0.315392189,0.397653429,0.3124051485,-87.8767879,9.415808515,68
2010KCR,6.483759051,3.451740326,0.68570829,4.97401419,4.478306539,9.338896627,0.331007626,0.399357601,0.3226794749,-42.06182968,9.336817716,67
2011SEA,6.833217155,2.738311286,0.71445856,3.912770485,3.841855247,17.39004093,0.292382878,0.348090758,0.2834464547,-124.3734826,4.446477923,67
2014TEX,7.003973469,3.186492434,0.70356371,4.492638838,4.224563546,9.259632581,0.313889353,0.375274725,0.3051977353,-66.81221053,11.63878189,67
2015ATL,7.248831088,3.472872037,0.71428571,4.413704643,4.342433855,6.988338117,0.314448541,0.359409594,0.2957043396,-115.5478594,9.902656714,67
2017CHW,7.552404019,4.000938256,0.72427229,4.779601873,5.16936322,4.362200748,0.31363108,0.417195719,0.3130341214,-38.52244514,15.53829355,67
2018TEX,7.050314971,3.088050536,0.69618821,4.924528655,4.790760134,10.8562074,0.318270799,0.404181184,0.3145892829,-82.95239993,9.532591446,67
2018CIN,7.857044287,3.322692814,0.71501882,4.653019073,4.682985468,8.686863384,0.327572282,0.401482284,0.3168909779,-50.34351866,16.99388401,67
2019TOR,8.323074353,3.774126809,0.71792882,4.792641163,4.824053639,8.856740421,0.305020576,0.428181321,0.3096895101,-67.0976485,12.80267782,67
2021MIA,8.78374637,3.364664613,0.71642148,3.9561841,4.014557166,15.89413653,0.298489733,0.37210172,0.2914758025,-144.3103404,8.886989763,67
2010BAL,6.309817289,3.258296912,0.71279974,4.592945454,4.568443642,9.802471305,0.315616258,0.386208138,0.309989563,-111.8269491,8.898585545,66
2012MIN,5.899212709,2.908943701,0.68845463,4.766914193,4.661180674,5.911239936,0.324805699,0.39032722,0.3127909823,-32.51344373,12.81694131,66
2013MIN,6.112388437,2.842105486,0.70244375,4.554815343,4.233788737,11.4712721,0.312408995,0.379942487,0.3067662409,-66.0679631,10.6634566,66
2013CHC,7.359116669,3.356353886,0.72807018,3.996547313,4.096197009,11.31324202,0.300464037,0.392142597,0.3043731446,-78.34209833,14.10933647,66
2014COL,6.754717625,3.33962296,0.69221723,4.855346375,4.429247401,7.229606856,0.326945126,0.445117605,0.337306632,-33.06042971,17.37939454,66
2017PHI,8.17557335,3.291464596,0.73018954,4.565579923,4.562913952,14.33315667,0.314626963,0.408852755,0.3103068584,-112.9164123,10.74192518,66
2018SDP,8.64172987,3.205902647,0.71103527,4.410432543,4.099347187,12.39114924,0.297310756,0.38005833,0.2936807588,-111.5287846,11.62099154,66
2022DET,7.575722615,3.239493101,0.71308825,4.038272222,4.158451279,9.530352004,0.286348122,0.345667534,0.2790107734,-131.6978514,3.43733044,66
2009CLE,6.18828507,3.75313841,0.6888798,5.071130159,4.726093667,9.92114124,0.339277185,0.416846264,0.3331375358,-0.7025373292,14.79839769,65
2009KCR,7.276999146,3.786816555,0.67993279,4.828191107,4.362862256,14.88085471,0.318489196,0.40527838,0.3176053021,-110.3114155,2.590631695,65
2010ARI,6.724860759,3.444134295,0.70137741,4.807961197,4.759406778,2.73059141,0.324649951,0.415676959,0.3250308459,-62.7392869,22.72202504,65
2021WSN,8.688023782,3.537174615,0.71035915,4.821659558,4.874074448,6.343457843,0.336736374,0.417084493,0.3258677405,1.80426516,22.23600459,65
2022KCR,7.56991607,3.743644471,0.70284698,4.716102203,4.416809673,8.432141938,0.306395057,0.379621114,0.3015620728,-59.55689112,9.203421116,65
2009BAL,5.876137656,3.43876866,0.70344971,5.164451102,5.027804706,6.806795683,0.331832797,0.415272338,0.3278790967,-74.30378982,11.17940806,64
2012COL,7.240506851,3.582278739,0.68937551,5.215190249,4.588826324,9.191920613,0.329727958,0.436435359,0.3308738215,-73.81539203,11.76406095,64
2014ARI,7.963536331,2.922455821,0.70283392,4.255943125,3.828767344,8.19763089,0.301874274,0.375720461,0.2995100852,-112.7752278,12.91948018,64
2015CIN,7.753211381,3.368807501,0.7172383,4.347247915,4.236575454,10.8012346,0.312245893,0.393825166,0.3069204576,-52.0673913,16.49311316,64
2017DET,7.616522514,3.409059162,0.68694173,5.360713849,4.725581609,11.47133136,0.32420984,0.42386609,0.3207946182,-26.99013085,12.39829074,64
2017SFG,7.648760959,3.074380418,0.71143838,4.500000369,4.215491021,11.40280905,0.308712741,0.380471987,0.2963877417,-140.0089435,8.550708627,64
2018DET,7.671890521,3.100327774,0.70471405,4.59682,4.585361585,10.04927154,0.300299301,0.379504914,0.2953191284,-121.9054438,3.993190503,64
2011MIN,5.950762442,3.038687205,0.69101784,4.596014397,4.302056952,7.653368196,0.306228084,0.35994168,0.2956069781,-133.4117356,4.300890999,63
2013CHW,7.725773798,3.148453854,0.73064089,3.9958766,4.130328687,15.26985593,0.302179656,0.378213194,0.2993954444,-117.4857697,5.912118518,63
2015PHI,7.224646602,3.057786246,0.71093083,4.693200611,4.403494049,10.29411216,0.302550425,0.381624163,0.2983105795,-100.2744729,8.788655255,63
2018MIA,7.795423696,3.776005874,0.69908645,4.762136333,4.565424762,2.377201851,0.302794774,0.356596209,0.2890190913,-129.2109362,12.17578794,63
2024LAA,7.874214477,3.779874521,0.70229273,4.566038107,4.681713215,6.819121296,0.301174496,0.369423184,0.2956913206,-82.33172099,6.309708302,63
2009PIT,5.831492924,3.572503282,0.70596335,4.594125002,4.484627959,12.55819784,0.318272757,0.386930035,0.309988343,-112.9659291,10.55094821,62
2013MIA,7.255479953,3.242465977,0.73218701,3.71095916,3.690320174,14.55080787,0.292637933,0.334556799,0.2789918022,-178.8731457,3.814351665,62
2018CHW,7.885178809,4.089771058,0.69352426,4.847599999,4.730369215,9.842827327,0.301521667,0.401412275,0.3039873089,-61.65702305,10.44165694,62
2022CIN,8.940984503,3.869789615,0.71125265,4.862529761,4.592759019,10.70477314,0.303508477,0.372304832,0.298712027,-123.7205057,4.07016316,62
2022PIT,7.916960558,3.711471109,0.68678682,4.661506376,4.274288947,9.041320835,0.29119294,0.363721628,0.2887104355,-116.6422969,5.898510934,62
2024MIA,8.24652206,3.48144743,0.68479467,4.746289842,4.441967038,8.586387387,0.299784089,0.37776168,0.2957563334,-104.4912093,6.468439485,62
2010SEA,6.089708311,2.828929246,0.71437104,3.949235297,4.170332064,15.7120726,0.29796536,0.339434276,0.2845876373,-148.8627701,3.193900302,61
2012CHC,7.181325323,3.64796047,0.71316964,4.507427596,4.461818313,4.409793076,0.301603375,0.377933838,0.2969989267,-138.8929492,11.21753411,61
2021PIT,8.4564342,3.905944455,0.70052637,5.079016882,4.743440791,5.11776453,0.309023693,0.364130434,0.294266907,-152.0724474,7.174435348,61
2023CHW,9.240978649,4.111292542,0.7021019,4.878230906,4.705797174,9.373183186,0.291491861,0.383748409,0.2924773818,-129.3017148,3.336555577,61
2024COL,7.052804308,3.551635801,0.67789561,5.482009789,4.935847654,3.770085866,0.303681492,0.400256692,0.3055501652,-134.0933946,4.622829686,61
2021TEX,7.828926418,3.241516749,0.703125,4.802247036,4.756741476,5.763771873,0.294415387,0.37520814,0.2912298637,-115.3859424,11.95030264,60
2022OAK,7.590792953,3.173872698,0.70695755,4.536808091,4.412267534,3.310003317,0.280698749,0.345690628,0.2773049146,-112.5204286,5.169448608,60
2009WSN,5.756377822,3.974491383,0.67893079,5.017084512,4.822803565,4.897361394,0.336501288,0.406153286,0.3270814105,-37.85514389,15.55460203,59
2016MIN,7.428275222,2.987526307,0.68286277,5.089397633,4.567904956,10.71973925,0.316178835,0.421324314,0.316970623,-28.03749387,15.11505289,59
2019KCR,7.768421593,3.67578973,0.7021186,5.204210889,4.899623628,7.867299455,0.309102924,0.400836972,0.301837024,-115.895347,7.758862588,59
2023COL,7.185997832,3.729844756,0.67613461,5.683876053,5.235238561,5.326683775,0.310110872,0.404657933,0.3098441949,-165.7740083,2.199985268,59
2018KCR,7.271648478,3.4504192,0.70566038,4.946229345,4.662526637,6.708202853,0.305348567,0.39164396,0.3026665949,-92.69076198,8.375274621,58
2010PIT,6.5412047,3.429988429,0.67365269,5.004722894,4.445729179,6.406655479,0.304142011,0.373375417,0.3000804718,-119.0248636,1.571258059,57
2019MIA,8.586660979,3.832218071,0.72145107,4.735749161,4.894369595,5.818588355,0.298353567,0.374637155,0.2880227881,-181.691048,2.76255468,57
2011HOU,7.46968721,3.512195498,0.70834246,4.509408148,4.350125103,5.635291481,0.310588622,0.373704894,0.3014291836,-89.14744974,12.83567378,56
2023KCR,8.112136909,3.532292686,0.67754362,5.167495086,4.695068862,8.006890199,0.302781501,0.397568165,0.3029037825,-89.98566112,11.76679998,56
2012HOU,7.398127566,3.414520415,0.69991299,4.565340259,4.269862106,9.251967061,0.301611278,0.371370445,0.2956960172,-144.4301857,6.756502332,55
2022WSN,7.778040849,3.557497372,0.70836174,5.004723005,4.976185599,-0.01088948094,0.310229365,0.377438351,0.3027269239,-52.30457871,8.160616589,55
2019BAL,7.783784635,3.498960881,0.68486917,5.669439289,5.564668083,6.895326258,0.310087577,0.414581844,0.3078085173,-91.85924359,5.04421021,54
2021BAL,7.92154161,3.614123117,0.66730059,5.848074884,5.152202692,7.769820896,0.303670186,0.401660516,0.3050349827,-75.94831046,6.150435327,52
2021ARI,7.861242364,3.524224161,0.68171633,5.149812243,4.884521552,2.375628801,0.309102815,0.382401165,0.3006836159,-116.3114229,11.03014545,52
2013HOU,6.775000641,3.850000364,0.69988628,4.793750453,4.666604529,2.170993176,0.298844801,0.375481033,0.2977509288,-112.7104568,1.769474527,51
2023OAK,8.241372142,4.39962482,0.6806817,5.483682233,5.051941243,1.104448601,0.298482293,0.370363396,0.2931675076,-85.70254162,6.45765709,50
2018BAL,7.56603821,3.704402748,0.6998511,5.18867957,4.980138189,7.113892185,0.29828932,0.390956963,0.2987656005,-99.68847245,4.856361064,47
2019DET,8.59176625,3.366364554,0.6878453,5.25680435,4.839271301,10.29809925,0.293864013,0.38817805,0.2895188887,-171.2172986,-0.1150429215,47
2024CHW,8.657747322,4.07535251,0.70671963,4.677465244,4.555421163,9.815594731,0.277872777,0.33995913,0.2722936975,-178.315067,-6.282791096,41
