,K/9,BB/9,LOB%,ERA,FIP,pWAR,OBP,SLG,wOBA,Off,WAR,W
2014MIL,7.69311725,2.661102355,0.73960128,3.667505334,3.88551084,10.91417319,0.31059216,0.397107286,0.3125311895,-56.17542613,19.88725261,82
2018ARI,8.907724822,3.211210191,0.75709779,3.727956659,3.914361938,11.9846012,0.309792381,0.397435897,0.3058724483,-82.20562922,20.16103286,82
2018WSN,8.819502629,3.031120522,0.74791381,4.039419341,4.148675068,16.42943731,0.334880742,0.41852456,0.3252910633,13.22346061,24.37363877,82
2018PIT,8.384937871,3.119247097,0.73601974,4.004184403,4.058618533,14.94141935,0.317307692,0.407196621,0.3122635693,-39.91817062,18.86193858,82
2021PHI,9.389098653,3.229088658,0.71384615,4.390038019,4.151237225,17.64195354,0.317715231,0.40849795,0.3131597758,-43.97725103,18.42618586,82
2023NYY,8.995833124,3.17573539,0.7330402,3.969669238,4.252493557,14.68392173,0.303706188,0.397332331,0.3044882564,-69.64437356,13.39988216,82
2023CIN,8.63524874,3.833024966,0.7179969,4.833488252,4.787694533,14.87006584,0.326910621,0.419530823,0.3246394468,-8.504716649,13.63536767,82
2023SDP,9.024983332,3.478834405,0.75629746,3.734906597,4.137066797,18.59538077,0.329163281,0.413256804,0.3232176679,50.74019343,25.38453918,82
2024MIN,9.372831185,2.705623935,0.70108349,4.261513912,3.844309613,18.45824965,0.315169366,0.410928961,0.3158831531,35.51037683,22.99636394,82
2010DET,6.580198939,3.34618071,0.70555135,4.287099309,4.144078366,18.01006712,0.335193749,0.415204678,0.3297111962,23.90633273,23.8459488,81
2010OAK,6.72642655,3.218626536,0.75054519,3.583236574,4.124873932,13.67825499,0.324386629,0.377936857,0.3129427367,-20.58158523,19.96724145,81
2011TOR,7.21275215,3.331810232,0.71634989,4.325183282,4.286812382,10.69492312,0.316717915,0.412844036,0.3190140573,-11.64158167,16.31053361,81
2012ARI,7.533132374,2.6177635,0.7201426,3.942339276,3.805217085,15.27698857,0.327911943,0.418161845,0.3232376545,-30.71457689,21.68717039,81
2012PHI,8.588654475,2.536288578,0.72919286,3.857143021,3.716638617,19.76796412,0.316557377,0.399531024,0.3113868355,-40.7619472,21.2991221,81
2013ARI,7.332441924,2.919732622,0.74491072,3.919063787,4.042503267,8.46720266,0.323196943,0.391472868,0.3135538803,-69.37218146,20.06526595,81
2015BAL,7.734898321,3.029972335,0.73555372,4.052509582,4.114309433,15.752444,0.307216839,0.42060164,0.3149946768,-23.92702179,17.67402723,81
2015CLE,8.838762752,2.669846602,0.72752366,3.681247315,3.62079713,21.05308943,0.324533905,0.400625114,0.3154054777,-15.61919397,19.05121644,81
2016KCR,8.043750523,3.23125021,0.75394981,4.212500274,4.420866021,12.05914239,0.312156993,0.400036023,0.3071690718,-70.46933653,13.6062725,81
2019PHI,8.618207306,3.380417521,0.74657454,4.531988325,4.879453273,8.504773124,0.31940874,0.426673846,0.31440883,-70.33131325,18.13519329,81
2022CHW,9.014506747,3.313608342,0.71182207,3.935298463,3.81010547,17.03960064,0.310463402,0.387096774,0.3063531617,-17.82285161,15.34894712,81
2022SFG,8.604327395,2.769714147,0.69962468,3.862526531,3.429946733,20.32284446,0.315333006,0.389651335,0.3105178822,5.441491123,15.70711972,81
2024BOS,8.382515658,2.856126917,0.70502629,4.05185901,4.104274765,15.54138428,0.318615558,0.422628653,0.3207057844,30.71809665,20.31062229,81
2009MIL,6.924042226,3.806968869,0.71907244,4.841812136,4.838547278,5.182689712,0.341134979,0.426134301,0.335867409,10.20354853,24.41704058,80
2010LAA,7.017019696,3.508509848,0.72899551,4.042548515,4.110731166,13.53879313,0.311269237,0.390306122,0.3100125484,-54.17963677,14.24961878,80
2010FLA,7.308459257,3.43522614,0.71312453,4.092236604,3.916312923,16.05334693,0.32101579,0.402639667,0.3184104855,-36.14570844,16.01995504,80
2010LAD,7.953295665,3.364855858,0.70884322,4.014104484,3.761079495,16.82910352,0.321552436,0.378916328,0.309292888,-60.61479842,13.54484829,80
2011CLE,6.341284938,2.867202076,0.69522001,4.241972834,4.064377199,17.68655679,0.317296678,0.396442185,0.3142374702,-8.522200561,9.180045788,80
2011WSN,6.514030075,2.962051807,0.73598264,3.583027029,3.829894184,11.55797679,0.308588548,0.382650248,0.3045509854,-73.3849616,16.55669562,80
2015TBR,8.391055702,2.953899313,0.75062814,3.740367265,3.91386904,14.68287938,0.314441506,0.405834092,0.3130784814,-16.24326423,19.59827854,80
2017LAA,8.196206212,2.936140945,0.74869709,4.19805684,4.427885068,11.02396323,0.314998348,0.397229916,0.3067824038,-60.77456821,16.60839409,80
2017KCR,7.6123353,3.24901482,0.70921986,4.63250668,4.429840102,13.67854328,0.311418109,0.419617052,0.3122518867,-60.13350525,12.96513297,80
2017TBR,8.420761736,3.132872155,0.72968594,3.986159401,4.166636293,14.99301307,0.31668299,0.42241694,0.3155726067,-1.239282452,19.66893824,80
2018LAA,8.678572747,3.418831688,0.74060823,4.151438479,4.361266638,12.17018792,0.313217448,0.413011695,0.3132713596,-12.56326126,20.62796484,80
2018PHI,9.120360632,3.112751069,0.71030476,4.146184424,3.833477529,19.68407038,0.313995411,0.392514749,0.3073613616,-72.26571569,11.98509882,80
2021CLE,8.891336011,3.336648021,0.72775071,4.340199246,4.426426279,9.686389999,0.303483432,0.406976744,0.3062170711,-17.90748585,18.69822601,80
2024TBR,8.78343421,2.779963175,0.74461094,3.779500496,4.045448528,12.78981713,0.302403204,0.366116162,0.2943069314,-30.55942821,16.12071521,80
2024SFG,9.014648456,3.302023042,0.71827057,4.099279556,3.797937229,12.1821266,0.305238803,0.395604395,0.3051932251,-20.71425356,17.58487063,80
2009CHW,6.995369853,3.169483928,0.71681719,4.157212647,4.210536036,20.16505618,0.328960314,0.411495515,0.3257247725,-84.03657474,8.734186239,79
2010NYM,6.850654024,3.375774361,0.74918743,3.728837001,3.995942935,14.05376565,0.314497528,0.382616651,0.3067469787,-70.93073807,15.20341749,79
2011CHW,7.520548498,2.706164582,0.71256177,4.09931537,3.655523318,23.15545459,0.318650728,0.387677208,0.3119485464,-79.99568326,11.6618444,79
2011CIN,6.818987567,3.305246672,0.73702225,4.157620118,4.371059792,6.23369317,0.32576,0.40787598,0.3217204188,3.623900685,29.32211503,79
2012PIT,7.484651623,3.076744375,0.72595065,3.911860705,3.938638193,13.74896406,0.30376344,0.395048041,0.303611963,-67.84258808,9.798620313,79
2014ATL,8.047423329,2.919587864,0.74973663,3.383505427,3.474520237,18.5623603,0.304658901,0.360095098,0.2962904783,-98.85927055,13.55969801,79
2014NYM,8.012070717,3.129811201,0.75710326,3.492598747,3.749879177,12.72445898,0.308248439,0.364400584,0.2990150287,-56.02845116,18.11249098,79
2015ARI,7.455682124,3.068181944,0.73715007,4.050000166,4.210866522,10.57607036,0.323807994,0.41440963,0.3189338783,-23.31332919,21.56654106,79
2016MIA,8.648780859,3.731707477,0.739507,4.051568118,3.973041255,15.54494069,0.322214919,0.394267171,0.3094896119,-40.05613533,20.5010014,79
2021SDP,9.547553237,3.247552716,0.73571877,4.097203136,4.177027213,12.66190759,0.321211123,0.401188707,0.3121618983,-8.463424633,22.98002823,79
2023SFG,8.525326053,2.528113613,0.70690927,4.021143488,3.919306219,14.9269641,0.312047399,0.383407243,0.3041780754,-74.5260903,13.28070815,79
2009CIN,6.597257608,3.560914537,0.74438515,4.178057437,4.627598153,8.189443648,0.317562017,0.394177956,0.3128519007,-118.4881879,19.04721928,78
2013LAA,7.409102057,3.290876164,0.7233949,4.241710928,4.080326468,10.10360515,0.328941025,0.414459556,0.3249756661,54.75480631,21.56966821,78
2015BOS,7.568700753,2.970311133,0.71645655,4.337399939,4.16788619,11.82146484,0.325330325,0.414539007,0.3210693729,-5.883879799,17.93602889,78
2016CHW,7.90092258,3.241244618,0.73972603,4.11843366,4.274671113,17.10742355,0.317273025,0.409909909,0.3138714643,-25.79250437,15.3756062,78
2016PIT,7.643382738,3.306755681,0.725,4.224954257,4.303959338,8.986062656,0.332475884,0.40166005,0.3184332198,-23.89807978,22.06567002,78
2017SEA,7.773201411,3.061791553,0.72661781,4.455219137,4.700338295,9.336861144,0.325312957,0.423527292,0.3207985841,14.96442327,22.3271159,78
2017TEX,6.946084658,3.507553138,0.70929971,4.699744723,4.877602642,11.151237,0.320150968,0.429834254,0.3212325603,-76.72745773,10.00820053,78
2018MIN,8.586375186,3.572979652,0.7235673,4.502079073,4.392995237,11.39692299,0.31784841,0.404994571,0.3131836229,-34.40738113,16.54314883,78
2019TEX,8.630737636,3.648818014,0.70468699,5.088317402,4.837097192,14.226936,0.319320937,0.430866425,0.3172318135,-89.749378,9.190035903,78
2022BOS,8.465409623,3.30817642,0.69828571,4.534591633,4.165540817,10.12719156,0.321044045,0.409460191,0.3186023668,9.557300591,18.36775895,78
